Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Shop-Rite Supermarkets, Inc.",NY,Healthcare Provider,12172,11/3/2017,Improper Disposal,Other Portable Electronic Device,No
East Central Kansas Area Agency on Aging,KS,Business Associate,8750,10/31/2017,Hacking/IT Incident,Network Server,Yes
Texas Children's Health Plan,TX,Health Plan,932,10/27/2017,Unauthorized Access/Disclosure,Email,No
Florida Blue ,FL,Health Plan,939,10/27/2017,Unauthorized Access/Disclosure,Paper/Films,Yes
Catholic Charities of the Diocese of Albany,NY,Healthcare Provider,4624,10/27/2017,Hacking/IT Incident,Network Server,No
Cook County Health & Hospitals System,IL,Healthcare Provider,727,10/27/2017,Unauthorized Access/Disclosure,Network Server,Yes
Arch City Dental,OH,Healthcare Provider,1716,10/26/2017,Unauthorized Access/Disclosure,Email,No
"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,2898,10/25/2017,Hacking/IT Incident,Email,No
TJ Samson Community Hospital,KY,Healthcare Provider,683,10/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
Brevard Physician Associates,FL,Healthcare Provider,7976,10/24/2017,Theft,Desktop Computer,No
"Aetna, Inc.",CT,Health Plan,1506,10/23/2017,Unauthorized Access/Disclosure,Network Server,Yes
Recovery Institute of the South East P.A.,FL,Healthcare Provider,689,10/21/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",No
Kaiser Foundation Health Plan,CA,Health Plan,720,10/20/2017,Unauthorized Access/Disclosure,Paper/Films,No
EMERGENCY COVERAGE CORPORATION ,TN,Healthcare Provider,719,10/20/2017,Loss,Paper/Films,No
Iowa Department of Human Services,IA,Health Plan,820,10/20/2017,Hacking/IT Incident,Email,No
The Union Labor Life Insurance Company,MD,Business Associate,664,10/19/2017,Unauthorized Access/Disclosure,Email,Yes
Mann-Grandstaff VA Medical Center,WA,Healthcare Provider,1915,10/19/2017,Theft,Other Portable Electronic Device,No
Insulet Corporation,MA,Healthcare Provider,1469,10/17/2017,Unauthorized Access/Disclosure,Network Server,Yes
Carolina Oncology Specialists,NC,Healthcare Provider,1551,10/16/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
Martinsville Henry County Coalition for Health and Wellness,VA,Healthcare Provider,5806,10/13/2017,Theft,Laptop,No
CVS Pharmacy,RI,Healthcare Provider,836,10/13/2017,Theft,Paper/Films,No
Bridget P Early MD LLC d/b/a Namaste Health Care,MO,Healthcare Provider,1617,10/12/2017,Hacking/IT Incident,Network Server,No
"Orthopedics NY, LLP",NY,Healthcare Provider,2493,10/12/2017,Unauthorized Access/Disclosure,Other,No
"RiverMend Health, LLC",GA,Healthcare Provider,1300,10/9/2017,Hacking/IT Incident,Email,No
Lifestyle Therapy & Coaching,AL,Healthcare Provider,550,10/9/2017,Unauthorized Access/Disclosure,Network Server,No
John Hancock Life Insurance Company (U.S.A.),MA,Health Plan,1715,10/6/2017,Hacking/IT Incident,Network Server,No
Chase Brexton Health Care,MD,Healthcare Provider,16562,10/3/2017,Hacking/IT Incident,Email,No
LSU Health Care Services Division,LA,Healthcare Provider,1200,10/2/2017,Unauthorized Access/Disclosure,Other,No
Amida Care,NY,Health Plan,6231,9/29/2017,Unauthorized Access/Disclosure,Paper/Films,No
Briggs & Stratton Corporation,WI,Health Plan,12789,9/29/2017,Hacking/IT Incident,Network Server,No
"Riaz Baber, M.D., S.C.",IL,Healthcare Provider,10500,9/28/2017,Unauthorized Access/Disclosure,Paper/Films,No
Advanced Spine & Pain Center,TX,Healthcare Provider,8352,9/27/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Kraig R. Pepper, D.O., P.A.",TX,Healthcare Provider,653,9/26/2017,Unauthorized Access/Disclosure,Other,No
Patients Choice,TX,Healthcare Provider,1069,9/26/2017,Hacking/IT Incident,Network Server,No
Houston Methodist Hospital,TX,Healthcare Provider,1359,9/25/2017,Unauthorized Access/Disclosure,Email,No
Arkansas Oral & Facial Surgery Center ,AR,Healthcare Provider,128000,9/24/2017,Hacking/IT Incident,Network Server,No
Our Lady of the Angels Hospital,LA,Healthcare Provider,1140,9/22/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
Spokane VA Medical Center,WA,Healthcare Provider,3275,9/20/2017,Loss,Laptop,No
Mercy Health Love County Hospital and Clinic ,OK,Healthcare Provider,13004,9/20/2017,Theft,"Laptop, Paper/Films",No
PeaceHealth,WA,Healthcare Provider,1969,9/19/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
MN Urology,MN,Healthcare Provider,939,9/18/2017,Unauthorized Access/Disclosure,Email,No
"W. W. Grainger, Inc.",IL,Health Plan,1594,9/18/2017,Theft,Laptop,No
Urological Associates of Central Jersey P.A.,NJ,Healthcare Provider,1800,9/18/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No
The MS Center of Saint Louis and Mercy Clinic Neurology - Town and Country ,MO,Healthcare Provider,1081,9/16/2017,Unauthorized Access/Disclosure,Other,No
"AU Medical Center, Inc.",GA,Healthcare Provider,6109,9/15/2017,Hacking/IT Incident,Email,No
Arkansas Department of Human Services,AR,Health Plan,26000,9/15/2017,Unauthorized Access/Disclosure,Email,No
Medical Mutual of Ohio,OH,Health Plan,6119,9/15/2017,Unauthorized Access/Disclosure,Email,No
Morehead Memorial Hospital,NC,Healthcare Provider,66000,9/15/2017,Hacking/IT Incident,Email,No
Premier Medical Associates,PA,Healthcare Provider,876,9/15/2017,Unauthorized Access/Disclosure,Other,No
"Community Family Care Medical Group IPA, Inc.",CA,Healthcare Provider,763,9/13/2017,Unauthorized Access/Disclosure,Other,No
"Indiana Health Centers, Inc.",IN,Healthcare Provider,1697,9/12/2017,Theft,"Desktop Computer, Laptop",No
"ABB, Inc.",NC,Healthcare Provider,28012,9/11/2017,Hacking/IT Incident,Email,No
Children's Hospital Colorado,CO,Healthcare Provider,3370,9/8/2017,Hacking/IT Incident,Email,No
Network Health,WI,Health Plan,51232,9/8/2017,Hacking/IT Incident,Email,No
Kaiser Foundation Health Plan,CA,Health Plan,609,9/8/2017,Unauthorized Access/Disclosure,Email,No
Ridgeview Medical Center,MN,Healthcare Provider,1074,9/8/2017,Unauthorized Access/Disclosure,Email,No
University of Wisconsin - Madison,WI,Healthcare Provider,1000,9/7/2017,Unauthorized Access/Disclosure,Paper/Films,No
"Department of Human Services, Commonwealth of Pennsylvania",PA,Health Plan,517,9/7/2017,Unauthorized Access/Disclosure,Other,No
Florida Healthy Kids Corporation,FL,Health Plan,2000,9/7/2017,Hacking/IT Incident,Network Server,No
Community Memorial Health System,CA,Healthcare Provider,959,9/5/2017,Hacking/IT Incident,Email,No
CBS Consolidated dba Cornerstone Business and Management Solutions,NE,Business Associate,21856,9/5/2017,Hacking/IT Incident,Network Server,Yes
"Med-Cert, Inc.",FL,Business Associate,7253,9/2/2017,Hacking/IT Incident,"Network Server, Other",Yes
State of Alaska Department of Health and Social Services,AK,Healthcare Provider,501,9/1/2017,Hacking/IT Incident,Desktop Computer,No
Hand & Upper Extremity Centers dba Hand Rehabilitation Specialists,CA,Healthcare Provider,12806,9/1/2017,Hacking/IT Incident,Network Server,No
Adult Internal Medicine of North Scottsdale,AZ,Healthcare Provider,11798,9/1/2017,Hacking/IT Incident,Network Server,No
"Consultants Choice, P.A.",FL,Healthcare Provider,1458,9/1/2017,Hacking/IT Incident,Desktop Computer,No
"MetroPlus Health Plan, Inc. ",NY,Health Plan,15212,9/1/2017,Unauthorized Access/Disclosure,Email,No
"The Neurology Foundation, Inc.",RI,Healthcare Provider,12861,9/1/2017,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films",No
Mercy Hospital Logan County ,OK,Healthcare Provider,629,8/30/2017,Loss,Paper/Films,No
Aetna Inc.,CT,Health Plan,11887,8/29/2017,Unauthorized Access/Disclosure,Paper/Films,Yes
"Medical Oncology Hematology Consultants,PA",DE,Healthcare Provider,19203,8/29/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No
"Waco Otolaryngology Associates d/b/a Waco Ear, Nose, & Throat",TX,Healthcare Provider,500,8/28/2017,Hacking/IT Incident,Network Server,No
Kaleida Health,NY,Healthcare Provider,744,8/25/2017,Hacking/IT Incident,Email,No
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Healthcare Provider,106008,8/24/2017,Hacking/IT Incident,Network Server,No
"Oncology Consultants, P.A.",TX,Healthcare Provider,19114,8/22/2017,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Feinstein and Roe Mds Inc.,CA,Healthcare Provider,6642,8/21/2017,Hacking/IT Incident,Network Server,No
Northeast OB/GYN Associates,TX,Healthcare Provider,10198,8/18/2017,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No
Institute for Women's Health,TX,Healthcare Provider,15761,8/18/2017,Hacking/IT Incident,Network Server,No
South Bend Orthopaedic Associates Inc,IN,Healthcare Provider,1272,8/18/2017,Theft,Laptop,No
"Centura Health, Mercy Family Medicine",CO,Healthcare Provider,2069,8/16/2017,Loss,Other Portable Electronic Device,No
Salina Family Healthcare Center,KS,Healthcare Provider,77337,8/16/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
"Lake Hospital System, Inc. dba Lake Health",OH,Healthcare Provider,750,8/15/2017,Loss,Paper/Films,No
TRUEbenefits LLC,WA,Business Associate,17309,8/14/2017,Hacking/IT Incident,Email,Yes
MJHS Home Care,NY,Healthcare Provider,8413,8/11/2017,Hacking/IT Incident,Email,No
"WellCare Health Plans, Inc.",FL,Health Plan,1214,8/11/2017,Unauthorized Access/Disclosure,Paper/Films,Yes
Silver Cross Hospital,IL,Healthcare Provider,8862,8/11/2017,Unauthorized Access/Disclosure,Network Server,Yes
Pacific Alliance Medical Center,CA,Healthcare Provider,266123,8/10/2017,Hacking/IT Incident,Network Server,No
"MDeverywhere, Inc.",TX,Business Associate,1396,8/10/2017,Unauthorized Access/Disclosure,Network Server,Yes
"St. Mark's Surgical Center, LLC",FL,Healthcare Provider,33877,8/9/2017,Hacking/IT Incident,Network Server,No
National DCP Health Plan ,GA,Health Plan,1190,8/8/2017,Hacking/IT Incident,Email,No
Surgical Dermatology Group,AL,Healthcare Provider,13308,8/5/2017,Hacking/IT Incident,Network Server,Yes
"Elderplan, Inc. ",NY,Health Plan,65235,8/5/2017,Hacking/IT Incident,Email,No
City of Hope,CA,Healthcare Provider,3400,8/3/2017,Hacking/IT Incident,Email,No
Spectrum Health System,MI,Healthcare Provider,902,8/3/2017,Theft,Other Portable Electronic Device,No
Bluetail Medical Group,MO,Healthcare Provider,11000,8/2/2017,Hacking/IT Incident,Desktop Computer,No
Daniel Drake Center for Post-Acute Care,OH,Healthcare Provider,4721,8/1/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
Sport and Spine Rehab,MD,Healthcare Provider,31120,8/1/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Northwest Rheumatology,AZ,Healthcare Provider,7468,7/31/2017,Hacking/IT Incident,Network Server,No
Braun Dermatology & Skin Cancer Center,DC,Healthcare Provider,1200,7/28/2017,Unauthorized Access/Disclosure,Email,No
Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,7/27/2017,Hacking/IT Incident,Network Server,No
Northwest Behavioral Healthcare Services,OR,Healthcare Provider,500,7/27/2017,Unauthorized Access/Disclosure,Email,No
"Christine D. Collins, APC & Ann Hofstadter, MD Inc.",CA,Healthcare Provider,1500,7/27/2017,Hacking/IT Incident,Email,No
"Anthem, Inc.",IN,Health Plan,18580,7/24/2017,Unauthorized Access/Disclosure,Email,Yes
"BlueCross BlueShield of TN, Inc.",TN,Health Plan,2117,7/21/2017,Unauthorized Access/Disclosure,Paper/Films,No
The University of Vermont Medical Center,VT,Healthcare Provider,2300,7/21/2017,Hacking/IT Incident,Email,No
Performance Physical Therapy and Wellness,CT,Healthcare Provider,571,7/21/2017,Hacking/IT Incident,Email,No
Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176,7/21/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
Kaleida Health,NY,Healthcare Provider,2789,7/21/2017,Hacking/IT Incident,Email,No
"Vision Care Specialists, Inc.",CO,Healthcare Provider,703,7/20/2017,Theft,Paper/Films,No
Metropolitan Life Insurance Company,NY,Health Plan,4220,7/19/2017,Unauthorized Access/Disclosure,Other,No
"SAGE DENTAL MANAGEMENT, LLC",FL,Business Associate,5000,7/19/2017,Theft,Other,Yes
"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,7/15/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No
"Braun Internal Medicine, P.C.",GA,Healthcare Provider,680,7/14/2017,Unauthorized Access/Disclosure,Email,No
Detroit Medical Center,MI,Healthcare Provider,1529,7/13/2017,Theft,"Desktop Computer, Paper/Films",No
Professional Counseling & Medical Associates,TN,Healthcare Provider,2500,7/13/2017,Hacking/IT Incident,Electronic Medical Record,Yes
LC&Z General and Cosmetic Dentistry,FL,Healthcare Provider,4391,7/11/2017,Unauthorized Access/Disclosure,Email,No
White Coats Wellness,FL,Business Associate,10000,7/10/2017,Hacking/IT Incident,Email,Yes
"Andrea Yaley, DDS",CA,Healthcare Provider,1200,7/10/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
Rosalind Franklin University of Medicine ,IL,Healthcare Provider,859,7/9/2017,Hacking/IT Incident,Email,No
Ledet Family Chiropractic Cener,PA,Healthcare Provider,530,7/9/2017,Hacking/IT Incident,Network Server,No
University of Mississippi Medical Center,MS,Healthcare Provider,7492,7/7/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Unconditional Love, Incorporated",FL,Healthcare Provider,643,7/7/2017,Unauthorized Access/Disclosure,Paper/Films,No
"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,7/7/2017,Hacking/IT Incident,Network Server,No
University of California Davis Health,CA,Healthcare Provider,14900,7/6/2017,Hacking/IT Incident,Email,No
Walnut Place,TX,Healthcare Provider,5000,7/5/2017,Hacking/IT Incident,Network Server,No
The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000,7/5/2017,Unauthorized Access/Disclosure,Email,No
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,7/3/2017,Hacking/IT Incident,Network Server,No
Kennebunk Center for Dentistry ,ME,Healthcare Provider,1900,7/3/2017,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
White Blossom Care Center,CA,Healthcare Provider,800,6/30/2017,Unauthorized Access/Disclosure,Other,No
Enterprise Services LLC,CO,Business Associate,822,6/30/2017,Hacking/IT Incident,Network Server,Yes
Baptist Medical Center South,FL,Healthcare Provider,531,6/30/2017,Loss,Other Portable Electronic Device,No
Community Link Inc,WI,Health Plan,5524,6/30/2017,Hacking/IT Incident,Email,No
California Pacific Orthopaedics and Sports Medicine,CA,Healthcare Provider,2271,6/30/2017,Theft,"Laptop, Paper/Films",No
FastHealth Corporation,AL,Business Associate,18192,6/29/2017,Hacking/IT Incident,Network Server,Yes
"Paul C. Gering, Jr., M.D.",OR,Healthcare Provider,2000,6/29/2017,Theft,Desktop Computer,No
"Pediatric Healthcare Solutions, P.C.",NY,Healthcare Provider,6932,6/28/2017,Hacking/IT Incident,Network Server,No
Enterprise Services LLC,IN,Business Associate,56075,6/27/2017,Unauthorized Access/Disclosure,"Network Server, Other",Yes
GI Care for Kids Endoscopy Center,GA,Healthcare Provider,1923,6/27/2017,Hacking/IT Incident,Network Server,No
Henry Ford Health System,MI,Healthcare Provider,596,6/26/2017,Theft,Paper/Films,No
Southern Illinois Hospital Services,IL,Healthcare Provider,613,6/23/2017,Unauthorized Access/Disclosure,Network Server,No
Pharma Medica Research Inc.,MO,Healthcare Provider,2718,6/23/2017,Unauthorized Access/Disclosure,Network Server,No
Atchafalaya Internal Medicine Associates,LA,Healthcare Provider,2000,6/22/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Other Portable Electronic Device",No
Saint Thomas Rutherford Hospital,TN,Healthcare Provider,2837,6/22/2017,Improper Disposal,Paper/Films,No
University of Iowa Hospitals & Clinics,IA,Healthcare Provider,5292,6/22/2017,Unauthorized Access/Disclosure,Other,No
"Adams Industries, Inc.",NE,Health Plan,647,6/21/2017,Hacking/IT Incident,Network Server,No
Aetna Inc.,CT,Health Plan,5002,6/20/2017,Unauthorized Access/Disclosure,Network Server,No
Tampa Bay Surgery Center,FL,Healthcare Provider,25848,6/20/2017,Hacking/IT Incident,Other,No
"Cleveland Medical Associates, PLLC",TN,Healthcare Provider,22000,6/20/2017,Hacking/IT Incident,Network Server,No
Family Tree Health Clinic,TX,Healthcare Provider,13402,6/19/2017,Hacking/IT Incident,Network Server,No
Torrance Memorial Medical Center,CA,Healthcare Provider,46632,6/19/2017,Hacking/IT Incident,Email,No
Little River Healthcare,TX,Healthcare Provider,542,6/16/2017,Theft,Laptop,No
Rutland Regional Medical Center,VT,Healthcare Provider,665,6/16/2017,Unauthorized Access/Disclosure,Email,No
"Airway Oxygen, Inc.",MI,Healthcare Provider,500000,6/16/2017,Hacking/IT Incident,Network Server,No
Texas Health and Human Services,TX,Health Plan,1842,6/15/2017,Improper Disposal,Paper/Films,No
Bay Area Pain and Wellness Center,CA,Healthcare Provider,548,6/14/2017,Theft,Laptop,No
"Cove Family and Sports Medicine, LLC",AL,Healthcare Provider,4300,6/12/2017,Hacking/IT Incident,Network Server,No
SSM Health  (Dr. Syed Khader),MO,Healthcare Provider,836,6/9/2017,Theft,Other,No
Tennessee Rural Health Improvement Association,TN,Health Plan,588,6/8/2017,Loss,Paper/Films,Yes
Southwest Community Health Center,CT,Healthcare Provider,6000,6/7/2017,Theft,"Desktop Computer, Laptop",No
"Durango Family Medicine, P.C.",CO,Healthcare Provider,18790,6/6/2017,Theft,Other Portable Electronic Device,No
Toth Enterprises II d/b/a Victory Medical,TX,Healthcare Provider,2000,6/5/2017,Unauthorized Access/Disclosure,"Email, Paper/Films",No
North Dakota Department of Human Services,ND,Health Plan,2452,6/1/2017,Improper Disposal,Paper/Films,No
